id,steps,stage,time
420,401,1,25/12/2024
421,407,1,25/12/2024
422,404,1,25/12/2024
423,413,1,25/12/2024
424,400,1,25/12/2024
425,422,1,25/12/2024
426,416,1,25/12/2024
427,406,1,25/12/2024
428,398,1,25/12/2024
429,422,1,25/12/2024
430,404,1,25/12/2024
431,429,1,25/12/2024
432,400,1,25/12/2024
433,427,1,25/12/2024
434,387,1,25/12/2024
435,417,1,25/12/2024
436,416,1,25/12/2024
437,416,1,25/12/2024
438,409,1,25/12/2024
439,419,1,25/12/2024
440,406,1,25/12/2024
441,422,1,25/12/2024
442,433,1,25/12/2024
443,515,1,25/12/2024
444,455,1,25/12/2024
445,405,1,25/12/2024
446,428,1,25/12/2024
447,409,1,25/12/2024
448,469,1,25/12/2024
449,402,1,25/12/2024
450,465,1,25/12/2024
451,396,1,25/12/2024
452,433,1,25/12/2024
453,431,1,25/12/2024
454,388,1,25/12/2024
455,408,1,25/12/2024
456,441,1,25/12/2024
457,391,1,25/12/2024
458,384,1,25/12/2024
459,394,1,25/12/2024
460,399,1,25/12/2024
461,391,1,25/12/2024
462,397,1,25/12/2024
463,388,1,25/12/2024
464,377,1,25/12/2024
465,413,1,25/12/2024
466,386,1,25/12/2024
467,404,1,25/12/2024
468,388,1,25/12/2024
469,415,1,25/12/2024
470,395,1,25/12/2024
471,381,1,25/12/2024
472,385,1,25/12/2024
473,378,1,25/12/2024
474,371,1,25/12/2024
475,385,1,25/12/2024
476,373,1,25/12/2024
477,405,1,25/12/2024
478,402,1,25/12/2024
479,407,1,25/12/2024
480,385,1,25/12/2024
481,389,1,25/12/2024
482,383,1,25/12/2024
483,417,1,25/12/2024
484,378,1,25/12/2024
485,377,1,25/12/2024
486,377,1,25/12/2024
487,378,1,25/12/2024
488,407,1,25/12/2024
489,376,1,25/12/2024
490,408,1,25/12/2024
491,378,1,25/12/2024
492,382,1,25/12/2024
493,376,1,25/12/2024
494,398,1,25/12/2024
495,408,1,25/12/2024
496,393,1,25/12/2024
497,387,1,25/12/2024
498,396,1,25/12/2024
499,388,1,25/12/2024
500,381,1,25/12/2024
501,388,1,25/12/2024
502,394,1,25/12/2024
503,376,1,25/12/2024
504,387,1,25/12/2024
505,472,1,25/12/2024
506,398,1,25/12/2024
507,403,1,25/12/2024
508,369,1,25/12/2024
509,383,1,25/12/2024
510,372,1,25/12/2024
511,360,1,25/12/2024
512,382,1,25/12/2024
513,383,1,25/12/2024
514,394,1,25/12/2024
515,342,1,25/12/2024
516,366,1,25/12/2024
517,361,1,25/12/2024
518,371,1,25/12/2024
519,358,1,25/12/2024
520,357,1,25/12/2024
521,350,1,25/12/2024
522,371,1,25/12/2024
523,388,1,25/12/2024
524,390,1,25/12/2024
525,370,1,25/12/2024
526,359,1,25/12/2024
527,342,1,25/12/2024
528,369,1,25/12/2024
529,369,1,25/12/2024
530,370,1,25/12/2024
531,355,1,25/12/2024
532,355,1,25/12/2024
533,370,1,25/12/2024
534,366,1,25/12/2024
535,375,1,25/12/2024
536,361,1,25/12/2024
537,369,1,25/12/2024
538,366,1,25/12/2024
539,360,1,25/12/2024
540,356,1,25/12/2024
541,361,1,25/12/2024
542,371,1,25/12/2024
543,353,1,25/12/2024
544,350,1,25/12/2024
545,364,1,25/12/2024
546,367,1,25/12/2024
547,375,1,25/12/2024
548,359,1,25/12/2024
549,369,1,25/12/2024
550,348,1,25/12/2024
551,378,1,25/12/2024
552,369,1,25/12/2024
553,368,1,25/12/2024
554,363,1,25/12/2024
555,373,1,25/12/2024
556,363,1,25/12/2024
557,345,1,25/12/2024
558,359,1,25/12/2024
559,350,1,25/12/2024
560,361,1,25/12/2024
561,380,1,25/12/2024
562,391,1,25/12/2024
563,364,1,25/12/2024
564,362,1,25/12/2024
565,362,1,25/12/2024
566,359,1,25/12/2024
567,381,1,25/12/2024
568,370,1,25/12/2024
569,369,1,25/12/2024
570,367,1,25/12/2024
571,359,1,25/12/2024
572,539,1,25/12/2024
573,457,1,25/12/2024
574,417,1,25/12/2024
575,380,1,25/12/2024
